short,Biofuels,Coal,Geothermal,Hydro,Natural gas,Nuclear,Oil,Other sources,Solar PV,Solar thermal,Tide,Waste,Wind,Total production
Africa,1773,258621,1599,115394,259984,11954,70018,332,482,,,,2493,722629
Albania,,,,4725,,,,,,,,,,4725
Algeria,,,,622,55716,,1059,,,,,,,57397
Angola,,,,3772,,,2432,,,,,,,6204
Argentina,2375,4143,,37365,65345,6395,20058,,8,,,,369,136058
Armenia,,,,2322,3399,2311,,,,,,,4,8036
Asia,25638,1188231,19668,310520,547440,77841,133751,,3152,,,5689,31900,2343830
Australia,3043,172147,1,14083,48572,,3790,,2322,3,,,6970,250931
Austria,4368,6245,1,47696,9711,,744,11,337,,,1029,2462,72603
Azerbaijan,,,,1821,20664,,503,,,,,,,22988
Bahrain,,,,,24775,,,,,,,,,24775
Bangladesh,,936,,824,40858,,5991,,,,,,,48609
Belarus,95,20,,70,29787,,789,,,,,32,6,30799
Belgium,4497,5465,,1659,23546,40295,333,227,2148,,,2002,2751,82923
Benin,,,,,,,48,,,,,,,48
Bolivia,110,,,2352,5041,,155,,3,,,,,7661
Bosnia Herzegovina,,9787,,4215,52,,28,,,,,,,14082
Botswana,,250,,,,,100,,,,,,,350
Brazil,35237,14322,,415342,46760,16038,19592,283,,,,,5050,552624
Brunei,,,,,3891,,37,,2,,,,,3930
Bulgaria,66,22876,,3976,2356,15785,220,15,814,,,,1221,47329
Cambodia,20,37,,517,,,857,,3,,,,,1434
Cameroon,64,,,3497,292,,872,,4,,,,,4729
Canada,9963,64404,,380340,61337,94862,7287,2751,881,,27,228,11310,633390
Chile,4854,25337,,20158,12849,,6144,,0,,,,409,69751
China,30000,3771394,126,872107,98776,97394,10937,,6350,9,7,10967,95978,4994045
China reg,30089,3798702,126,872107,109392,97394,11766,,6350,9,7,10967,95980,5032889
Colombia,1953,3411,,47582,8994,,343,,,,,,55,62338
Congo,,,,987,713,,,,128,,,,,1828
Dem. Rep. of the Congo,17,,,7586,,,9,,,,,,,7612
Costa Rica,179,,1402,7233,,,830,,2,,,,528,10174
Côte d'Ivoire,66,,,1789,4733,,428,,,,,,,7016
Croatia,94,2238,,4999,2511,,582,,2,,,,329,10755
Cuba,551,,,111,2092,,15652,,1,,,,21,18428
Curaçao,,,,,,,710,,,,,,200,910
Cyprus,50,,,,,,4460,,22,,,,185,4717
Czechia,3285,46567,,2860,1479,30324,113,74,2149,,,151,416,87418
Denmark,3554,10539,,17,4192,,403,,104,,,1622,10270,30701
Dominican Republic,78,2124,,1784,3563,,9191,,1,,,,96,16837
Ecuador,296,,,12238,2337,,7974,,,,,,2,22847
Egypt,,,,13121,125051,,24959,,237,,,,1260,164628
El Salvador,375,,1535,1847,,,2480,,,,,,,6237
Eritrea,,,,,,,357,,2,,,,,359
Estonia,1001,10306,,42,126,,58,,,,,,434,11967
Ethiopia,,,,7388,,,12,,17,,,,192,7609
Eu28,130490,936078,5821,367666,584256,882366,75458,4854,67757,3775,462,39069,206102,3304155
Eurasia,711,417856,477,278167,694390,297233,39861,15,1199,,,3020,4681,1737610
Finland,10867,11271,,16859,6726,22987,312,319,6,,,570,494,70411
France,3092,24124,57,64644,22759,425406,7285,749,4428,,458,4553,14984,572538
North Macedonia,,4832,,1041,298,,88,,3,,,,,6262
Gabon,9,,,908,947,,297,,3,,,,,2164
Georgia,,,,7223,2472,,,,,,,,,9695
Germany,39678,287013,25,27849,77602,99460,7627,2004,26380,0,,11504,50670,629812
Ghana,,,,8071,1453,,2500,,,,,,,12024
Gibraltar,,,,,,,176,,,,,,,176
Greece,204,31119,,4591,13361,,6080,,1694,,,60,3850,60959
Guatemala,1713,1395,258,4508,,,1876,,,,,,,9750
Haiti,,,,221,,,879,,,,,,,1100
