short,Biofuels,Coal,Geothermal,Hydro,Natural gas,Nuclear,Oil,Other sources,Solar PV,Solar thermal,Tide,Waste,Wind,Total production
Honduras,182,67,,2787,,,4004,,,,,,338,7378
"China, Hong Kong SAR",89,27308,,,10616,,829,,,,,,2,38844
Hungary,1544,6492,,213,9401,15793,185,,8,,,229,770,34635
Iceland,,,5209,12337,,,3,,,,,,,17549
Ieafamily,311197,8433407,49022,2878886,3211414,2104307,483633,33317,96338,4746,496,91277,512756,18210797
Ieatot,216596,3429191,39478,1417396,2759247,1946055,378513,33034,87208,4737,489,77819,380293,10770057
India,19625,804508,,126303,85503,32866,22886,,2271,,,1194,30115,1125271
Indonesia,238,102166,9417,12799,45453,,29919,,3,,,30,5,200030
Iran,23,400,,12447,170004,1847,69348,,,,,,207,254276
Iraq,,,,4392,10277,,31349,,,,,,,46018
Ireland,376,7462,,1014,14139,,236,,1,,,116,4010,27356
Israel,76,38760,,33,10566,,13193,,369,,,,6,63003
Italy,10324,54110,5592,43854,129058,,18890,751,18862,,,4429,13407,299277
Jamaica,161,,,151,,,3579,,,,,,107,3998
Japan,15030,321070,2609,83645,425239,15939,188361,20882,6613,,,14682,4838,1098910
Jordan,6,,,61,3083,,13443,,,,,,3,16596
Kazakhstan,,69421,,7637,15021,,735,,,,,,3,92817
Kenya,193,,1599,4299,,,2060,,28,,,,15,8194
Korea,964,239347,,7652,111937,150327,21168,503,1103,,,700,917,534618
Dem. People's Rep. of Korea,,5184,,13500,,,552,,,,,,,19236
Kosovo,,5833,,96,,,14,,,,,,,5943
Kuwait,,,,,22695,,39960,,,,,,,62655
Kyrgyzstan,,728,,14179,81,,180,,,,,,,15168
Latinameri,45436,27422,3718,709982,184251,22433,148619,283,84,,,,7414,1149642
Latvia,288,2,,3707,2055,,1,,0,,,,114,6167
Lebanon,,,,1007,,,13819,,,,,,,14826
Libya,,,,,20728,,13539,,8,,,,,34275
Lithuania,218,,,937,2879,,240,227,2,,,,540,5043
Luxembourg,58,,,1159,2388,,1,,38,,,96,77,3817
Malaysia,811,55788,,9056,62649,,6014,,47,,,16,,134381
Malta,9,,,,,,2268,,17,,,,,2294
Masean,5660,245251,19668,114996,329830,,50033,,562,,,1349,308,767657
Mauritius,500,1150,,74,,,1068,,1,,,,4,2797
Mexico,904,34158,5817,31883,165492,8770,56181,,69,,,266,3688,307228
Middleeast,29,400,,21144,533242,1847,338485,,27,,,,210,895384
Rep. of Moldova,,,,269,5517,,16,,,,,,,5802
Mongolia,,4502,,52,,,253,,8,,,,1,4816
Montenegro,,1367,,1477,,,,,,,,,,2844
Morocco,,11856,,1816,6201,,6919,,,,,,728,27520
Mozambique,,,,15145,21,,,,,,,,,15166
Myanmar,,771,,7766,2144,,51,,,,,,,10732
Namibia,,15,,1607,,,21,,,,,,,1643
Nepal,,,,3533,,,19,,,,,,,3552
Netherlands,4969,27313,,104,56564,3915,1059,147,191,,,3991,4982,103235
Nicaragua,454,,523,419,,,2305,,,,,,330,4031
Niger,,254,,,,,145,,,,,,,399
Nigeria,,,,5659,23047,,21,,21,,,,,28727
Nonoecdtot,103676,5691232,25588,2307314,2328699,508702,742500,630,11294,9,7,19676,142678,11881984
Norway,212,167,,142810,2633,,35,2,0,,,256,1548,147663
New Zealand,611,3550,6196,22904,8862,,4,38,5,,,,2079,44247
Oecdam,71180,1767329,23952,730668,1504230,904761,102682,6885,10136,959,27,20891,157329,5301029
Oecdao,19724,774874,8806,128317,605176,166266,226516,21423,10412,3,,15382,14810,1991709
Oecdeur,131395,956232,11929,599671,678721,880556,68905,4953,67194,3775,462,41551,209223,3654568
Oecdtot,222299,3498435,44687,1458655,2788127,1951583,398103,33261,87743,4737,489,77825,381362,10947306
Oman,,,,,24412,,605,,,,,,,25017
Pakistan,,61,,29857,27116,4553,34538,,,,,,,96125
Panama,26,668,,5388,,,2521,,,,,,,8603
Paraguay,,,,60232,,,3,,,,,,,60235
Peru,668,1292,,21354,15652,,942,,60,,,,1,39969
Philippines,146,28265,10250,10252,19642,,4254,,1,,,36,75,72921
Poland,10094,136416,,2465,6260,,2045,81,1,,,30,4747,162139
Portugal,2705,13087,146,6661,10670,,2190,5,393,,,499,10259,46615
Qatar,,,,,34787,,,,,,,,,34787
Romania,212,22912,,12337,8719,11466,751,,8,,,,2640,59045
Russian Federation,45,168927,477,167319,525377,177534,28062,,,,,2988,5,1070734
Saudi Arabia,,,,,121396,,150260,,24,,,,,271680
Senegal,45,,,290,140,,2847,119,9,,,,,3450
Serbia,6,26334,,9914,477,,68,,,,,,,36799
Singapore,,6,,,39567,,6102,,13,,,1250,,46938
Slovakia,914,3906,,4439,2853,15495,506,69,424,,,52,6,28664
Slovenia,267,5145,,4087,531,5528,9,,163,,,6,,15736
South Africa,259,241264,,4211,,11954,194,,,,,,37,257919
Spain,4262,55991,,24162,73308,61470,15321,175,8193,3775,,1430,49472,297559
Srilanka,22,1404,,3292,,,7017,,19,,,,147,11901
South Sudan,,,,,,,443,,2,,,,,445
Sudan,,,,6619,,,2817,,,,,,,9436
Suriname,,,,1247,,,724,,1,,,,,1972
Sweden,10532,1392,,79058,892,64037,648,,19,,,2819,7164,166561
Switzerland,532,,,40305,919,25441,51,,300,,,2209,88,69845
Syria,,,,3237,18407,,13434,,,,,,,35078
Taipei,331,125637,,8606,63631,40422,7843,,276,,,3146,1262,251154
Tajikistan,,,,16900,74,,,,,,,,,16974
United Rep. of Tanzania,19,,,1767,2980,,850,,9,,,,,5625
Thailand,4388,33363,1,8754,117058,,2427,,493,,,17,141,166642
Togo,5,,,89,,,17,,,,,,,111
Trinidad,,,,,9104,,24,,4,,,,,9132
Tunisia,,,,110,17533,,4,213,5,,,,196,18061
Turkey,592,68013,899,57865,104499,,1639,112,,,,17,5860,239496
Turkmenistan,,,,,17750,,,,,,,,,17750
United Arab Emirates,,,,,101185,,1415,,,,,,,102600
United Kingdom,12962,144087,,8276,100170,70405,2892,,1354,,4,3882,19847,363879
Ukraine,134,80418,,10994,16039,90137,535,,333,,,,288,198878
Uruguay,1011,,,5421,8,,4046,,,,,,111,10597
USA,55459,1643430,18135,298287,1264552,801129,33070,4134,9186,959,,20397,141922,4290660
Uzbekistan,,2163,,6653,43796,,386,,,,,,,52998
Venezuela,,,,82008,20026,,19619,,4,,,,53,121710
Viet Nam,57,24855,,52795,39426,,372,,,,,,87,117592
Weoafrica,1773,258621,1599,115394,259984,11954,70018,332,482,,,,2493,722629
Weoasiapac,75375,5723047,28600,1310911,1251442,341501,358840,21423,19545,12,7,32038,142684,9305425
Weocsam,50290,52759,3718,730140,197100,22433,154763,283,84,,,,7823,1219393
Weoeur,132137,1171609,11929,653816,755043,997944,92094,4968,68763,3775,462,41584,213897,4148021
Weoeurasia,45,241239,477,224054,628634,179845,29866,,,,,2988,12,1307160
Weomideast,29,400,,21144,533242,1847,338485,,27,,,,210,895384
Weonam,66326,1741992,23952,710510,1491381,904761,96538,6885,10136,959,27,20891,156920,5231278
World,325975,9189667,70275,3765969,5116826,2460285,1140603,33891,99037,4746,496,97501,524040,22829291
Yemen,,,,,2221,,4852,,3,,,,,7076
Zambia,,,,12350,,,18,,,,,,,12368
Zimbabwe,168,3594,,5390,,,48,,,,,,,9200
