short,Biofuels,Coal,Geothermal,Hydro,Natural gas,Nuclear,Oil,Other sources,Solar PV,Solar thermal,Tide,Waste,Wind,Total production
Africa,1775,256140,4059,127176,276957,13794,81739,1571,1858,,,,5601,770648
Albania,,,,4724,,,,,,,,,,4724
Algeria,,,,254,63350,,638,,,,,,,64242
Angola,,,,5041,,,4439,,,,,,,9480
Argentina,2084,3460,,41335,66187,5756,19119,,16,,,,619,138576
Armenia,,,,1992,3289,2465,,,,,,,4,7750
Asia,33640,1386996,20347,344746,572307,84295,128495,,8246,,,6150,40661,2625883
Australia,3511,151849,1,18421,54394,,5013,,4007,3,,,10252,247451
Austria,4059,4910,0,44836,5404,,603,13,785,,,983,3846,65439
Azerbaijan,,,,1300,23210,,39,,3,,,174,2,24728
Bahrain,,,,,27246,,7,,,,,,,27253
Bangladesh,,1100,,623,45799,,8209,,145,,,,4,55880
Belarus,118,26,,121,34042,,379,,1,,,37,11,34735
Belgium,3590,4402,,1462,19318,33703,217,399,2883,,,2083,4615,72672
Benin,,,,,,,239,,,,,,,239
Bolivia,187,,,2251,5934,,175,,6,,,,8,8561
Bosnia Herzegovina,,10149,,5935,31,,45,,,,,,,16160
Botswana,,2213,,,,,99,,2,,,,,2314
Brazil,45994,26754,,373439,81075,15378,35423,361,16,,,,12211,590651
Brunei,,,,,4461,,43,,2,,,,,4506
Bulgaria,200,21305,,5163,2142,15867,211,14,1252,,,,1331,47485
Cambodia,17,863,,1852,,,327,,3,,,,,3062
Cameroon,72,,,4562,1337,,1137,,7,,,,,7115
Canada,12365,65934,,382574,57706,107280,7767,2261,2120,,16,265,22538,660826
Chile,5327,26006,,23099,10212,,3895,291,480,,,,1443,70753
China,44400,4115252,125,1064337,114505,132538,9517,,29195,34,8,12956,156078,5678945
China reg,44503,4145696,125,1064337,123676,132538,9705,,29196,34,8,12956,156080,5718854
Colombia,1347,5490,,47870,14242,,2106,,,,,,70,71125
Congo,,,,952,788,,,,256,,,,,1996
Dem. Rep. of the Congo,19,,,8820,7,,4,,,,,,,8850
Costa Rica,181,,1538,6717,,,1043,,3,,,,735,10217
