short,Biofuels,Coal,Geothermal,Hydro,Natural gas,Nuclear,Oil,Other sources,Solar PV,Solar thermal,Tide,Waste,Wind,Total production
Côte d'Ivoire,70,,,1913,5795,,508,,,,,,,8286
Croatia,165,2368,,9125,1002,,129,,35,,,,730,13554
Cuba,637,,,104,2794,,15794,,18,,,,19,19366
Curaçao,,,,,,,659,,13,,,,200,872
Cyprus,51,,,,,,4033,,84,,,,182,4350
Czechia,4575,43531,,2961,1806,30325,105,88,2123,,,157,477,86148
Denmark,3416,11064,,15,2089,,316,,596,,,1610,13079,32185
Dominican Republic,73,2425,,1271,4283,,8854,,18,,,,243,17167
Ecuador,399,,,11458,3243,,9111,,16,,,,80,24307
Egypt,,,,13822,125322,,34043,,244,,,,1444,174875
El Salvador,439,,1558,1718,,,2508,,,,,,,6223
Eritrea,,,,,,,383,,2,,,,,385
Estonia,758,10872,,27,69,,43,,,,,73,604,12446
Ethiopia,,,,9013,,,3,,54,,,,499,9569
Eu28,147957,842722,6303,407383,457960,876298,62375,4910,92764,5455,483,41501,253171,3199280
Eurasia,1243,392142,455,301120,713426,299154,20107,14,3670,,,3285,9772,1744388
Finland,11318,11818,,13397,5521,23580,236,290,8,,,819,1107,68094
France,3746,13818,83,69571,13154,436479,6424,712,6391,,481,4152,17318,572328
North Macedonia,,3737,,1207,196,,149,,14,,,,71,5374
Gabon,10,,,794,941,,251,,2,,,,,1998
Georgia,,,,8335,2036,,,,,,,,,10371
Germany,43345,284911,98,25444,62270,97129,5659,2023,36056,,,13503,57357,627795
Ghana,,,,8387,2359,,2213,,4,,,,,12963
Gibraltar,,,,,,,198,,,,,,,198
Greece,220,25746,,4607,6776,,5544,,3792,,,100,3689,50474
Guatemala,2298,2335,259,4889,,,1304,,7,,,,,11092
Haiti,,,,90,,,943,,,,,,,1033
Honduras,177,126,,2602,,,5095,,,,,,398,8398
"China, Hong Kong SAR",103,30444,,,9171,,188,,1,,,,2,39909
Hungary,1989,6114,,301,4240,15649,76,55,67,,,255,657,29403
Iceland,,,5239,12873,,,3,,,,,,8,18123
Ieafamily,374598,8961329,53449,3052498,3079873,2171702,378207,35995,183209,8180,999,95019,696868,19091924
Ieatot,246344,3423949,43285,1421403,2586872,1973890,275530,34041,145190,8146,991,79249,486465,10725353
India,24051,963692,,143403,59982,36102,22865,,5812,,,1494,37342,1294743
Indonesia,924,119532,10038,15162,56025,,26152,,7,,,36,,227876
Iran,47,530,,13862,195847,4472,59493,,,,,,358,274609
Iraq,,,,2931,14874,,49963,,,,,,,67768
Ireland,469,6453,,988,12635,,258,,2,,,142,5140,26087
Israel,62,30136,,13,29457,,299,,840,,,,6,60813
Italy,16363,46524,5916,60256,93637,,14163,661,22306,,,4823,15178,279827
Jamaica,145,,,136,,,3724,,,,,,119,4124
Japan,17224,352349,2620,86942,438036,,115108,21096,22952,,,14522,5217,1076067
Jordan,6,,,58,1296,,16858,,,,,,2,18220
Kazakhstan,,75594,,8263,20173,,1024,,1,,,,13,105068
Kenya,136,,4059,3310,,,1717,,34,,,,38,9294
Korea,1462,231500,,7820,130458,156407,17395,1001,2557,,492,696,1146,550934
Dem. People's Rep. of Korea,,4322,,13000,,,587,,,,,,,17909
Kosovo,,5270,,151,,,15,,,,,,,5436
Kuwait,,,,,21984,,43156,,,,,,,65140
Kyrgyzstan,,1073,,13298,117,,84,,,,,,,14572
Latinameri,57294,41604,4017,652414,235647,21134,154377,361,339,,,,16896,1184083
Latvia,669,,,1994,2337,,,,0,,,,139,5139
Lebanon,,,,193,,,17759,,,,,,,17952
Libya,,,,,20262,,17461,,8,,,,,37731
Lithuania,371,2,,1088,1749,,160,243,73,,,72,639,4397
Luxembourg,82,,,1168,1451,,0,,95,,,89,80,2965
Malaysia,701,55827,,13388,73836,,3490,,227,,,,,147469
Malta,7,,,,,,2170,,68,,,,,2245
Masean,9135,282285,20347,129019,366854,,38366,,1679,,,1386,544,849615
Mauritius,477,1260,,91,,,1081,,25,,,,3,2937
Mexico,1354,33881,6000,38893,171962,9677,33006,,221,,,77,6426,301496
Middleeast,53,530,,19384,619516,4472,351307,,109,243,,,360,995974
Rep. of Moldova,13,,,320,5032,,14,,1,,,,1,5381
Mongolia,,4930,,69,,,242,,9,,,,126,5376
Montenegro,,1421,,1752,,,,,,,,,,3173
Morocco,,15955,,2033,5600,,2570,1302,,,,,1924,29384
Mozambique,,,,16175,2948,,,,,,,,,19123
Myanmar,,286,,8829,4977,,65,,,,,,,14157
Namibia,,,,1485,,,13,,,,,,,1498
Nepal,,,,3789,,,1,,1,,,,6,3797
Netherlands,3104,32420,,112,51522,4091,1906,145,725,,,3534,5797,103357
Nicaragua,492,,662,395,,,2058,,1,,,,846,4454
Niger,,247,,,,,192,,4,,,,,443
Nigeria,,,,5346,26885,,22,,22,,,,,32253
Nonoecdtot,138508,6223108,29003,2509177,2541529,555387,745730,1946,43418,277,8,22391,229370,13039830
Norway,48,157,,136185,2601,,29,303,0,,,430,2217,141970
New Zealand,621,1959,7287,24328,7033,,3,51,18,,,,2211,43512
Oecdam,81403,1838398,24710,726093,1401213,947541,84545,6890,25897,2688,16,19754,214299,5373446
Oecdao,22880,767793,9908,137524,659378,156407,137819,22148,30375,3,492,15218,18832,1978777
Oecdeur,148749,877661,13906,603219,570410,876312,57565,5537,90568,5455,483,44357,255573,3549792
Oecdtot,253032,3483852,48524,1466835,2631001,1980260,279929,34575,146840,8146,991,79328,488705,10902016
Oman,,,,,28371,,757,,,,,,,29128
Pakistan,,145,,32474,28352,5804,39411,,,,,,802,106988
Panama,31,687,,5034,,,3418,,1,,,,116,9287
Paraguay,,,,55276,,,6,,,,,,,55282
Peru,1291,327,,22199,20893,,560,,199,,,,257,45726
Philippines,130,33054,10308,9137,18690,,5708,,17,,,66,152,77262
Poland,9977,131551,,2734,5328,,1594,142,7,,,50,7676,159059
Portugal,2808,11952,205,16412,6834,,1357,7,627,,,490,12111,52803
Qatar,,,,,38692,,,,,,,,,38692
Romania,505,17808,0,19280,8104,11676,486,,1616,,,,6201,65676
Russian Federation,32,158299,455,177141,533493,180757,10703,,160,,,3071,96,1064207
Saudi Arabia,,,,,159520,,152244,,42,,,,,311806
Senegal,68,,,318,125,,3337,29,16,,,,,3893
Serbia,22,22167,,11617,235,,10,,6,,,3,,34060
Singapore,155,542,,,47042,,345,,38,,,1260,,49382
Slovakia,1395,3356,,4462,1619,15499,302,118,597,,,47,6,27401
Slovenia,258,3759,,6366,374,6370,42,,257,,,7,4,17437
South Africa,259,232068,,4082,,13794,189,,1086,,,,1100,252578
Spain,4728,45295,,42970,47273,57305,14121,,8218,5455,,1372,52013,278750
Srilanka,41,3202,,4552,,,4374,,20,,,,272,12461
South Sudan,,,,,,,488,,2,,,,,490
Sudan,,,,8913,,,2463,,,,,,,11376
Suriname,,,,1351,,,820,,9,,,,,2180
Sweden,9070,1098,,63872,413,64877,300,,47,,,2751,11235,153663
Switzerland,589,,,39701,521,27557,42,,842,,,2414,101,71767
Syria,,,,2340,13984,,4899,,,,,,,21223
Taipei,412,126228,,7439,70483,42389,8565,,552,,,3270,1500,260838
Tajikistan,,160,,16000,,,,,,,,,,16160
United Rep. of Tanzania,22,,,2590,2626,,963,,15,,,,,6216
Thailand,7144,37579,1,5540,118560,,1721,,1385,,,24,305,172259
Togo,5,,,120,,,20,,,,,,,145
Trinidad,,,,,9867,,24,,4,,,,,9895
Tunisia,,,,56,18026,,349,240,34,,,,507,19212
Turkey,1083,76263,2364,40645,120576,,2145,338,17,,,12,8520,251963
Turkmenistan,,,,,20400,,,,,,,,,20400
United Arab Emirates,,,,,114754,,1473,,58,243,,,,116528
United Kingdom,20720,101645,,8771,100893,63748,1919,,4054,,2,4389,31959,338100
Ukraine,130,70489,,9321,12714,88389,216,,429,,,,1130,182818
Uruguay,1422,,,9649,3,,683,,4,,,,733,12494
USA,62357,1712577,18710,281527,1161333,830584,39877,4338,23076,2688,,19412,183892,4340371
Uzbekistan,,2276,,6075,47210,,202,,,,,,,55763
Venezuela,,,,64288,21044,,17905,,5,,,,88,103330
Viet Nam,59,34602,,59841,43263,,515,,,,,,87,138367
Weoafrica,1775,256140,4059,127176,276957,13794,81739,1571,1858,,,,5601,770648
Weoasiapac,100961,6270349,30380,1546594,1325904,373240,275719,22148,66976,37,500,34324,215567,10262701
Weocsam,62621,67610,4017,675513,245859,21134,158272,652,819,,,,18339,1254836
Weoeur,150023,1062537,13905,671947,663365,992244,65918,5551,94914,5455,483,44397,265235,4035974
Weoeurasia,32,237402,455,232404,649928,183222,12052,,164,,,3245,115,1319019
Weomideast,53,530,,19384,619516,4472,351307,,109,243,,,360,995974
Weonam,76076,1812392,24710,702994,1391001,947541,80650,6599,25417,2688,16,19754,212856,5302693
World,391540,9706960,77527,3976012,5172530,2535647,1025659,36521,190258,8423,999,101719,718075,23941846
Yemen,,,,,2948,,4698,,9,,,,,7655
Zambia,,,,14042,,,410,,,,,,,14452
Zimbabwe,144,4397,,5431,,,51,,,,,,,10023
