short,Biofuels,Coal,Geothermal,Hydro,Natural gas,Nuclear,Oil,Other sources,Solar PV,Solar thermal,Tide,Waste,Wind,Total production
Africa,1773,261088,1506,114302,243801,13502,55281,293,422,,,,2425,694393
Albania,,,,4132,,,59,,,,,,,4191
Algeria,,,,502,49654,,1068,,,,,,,51224
Angola,,,,4007,,,1644,,,,,,,5651
Argentina,2127,3674,,40036,58065,6371,19591,,2,,,,26,129892
Armenia,,,,2489,2390,2548,,,,,,,3,7430
Asia,22974,1074931,19314,309252,545755,79668,151821,,1675,,,5484,26235,2237109
Australia,2102,172627,1,16807,48997,,5809,,1388,3,,,6085,253820
Austria,4304,7335,1,37782,12437,,1015,11,174,,,816,1936,65813
Azerbaijan,,,,2676,17280,,338,,,,,,,20294
Bahrain,,,,,24338,,,,,,,,,24338
Bangladesh,,827,,924,38263,,4191,,,,,,,44205
Belarus,95,19,,42,31639,,394,,,,,10,1,32200
Belgium,3878,5447,,1423,25438,48234,290,134,1169,,,1916,2312,90241
Benin,,,,,,,101,,,,,,,101
Bolivia,119,,,2347,4636,,115,,3,,,,,7220
Bosnia Herzegovina,,10806,,4387,49,,38,,,,,,,15280
Botswana,,437,,,,,41,,,,,,,478
Brazil,32234,12379,,428333,25095,15659,14796,556,,,,,2705,531757
Brunei,,,,,3686,,37,,2,,,,,3725
Bulgaria,56,27537,,3691,2077,16314,137,23,101,,,,861,50797
Cambodia,20,34,,52,,,951,,3,,,,,1060
Cameroon,61,,,4397,367,,1096,,3,,,,,5924
Canada,10063,75168,,375797,58135,93589,7121,2535,572,,26,212,10187,633405
Chile,4673,19619,,21009,13719,,6355,,,,,,338,65713
China,27500,3711059,125,698945,95935,86350,12130,,2604,6,7,10769,70331,4715761
China reg,27578,3738840,125,698945,107067,86350,12245,,2604,6,7,10769,70333,4754869
Colombia,1999,2300,,48878,7642,,145,,,,,,41,61005
Congo,,,,791,493,,9,,128,,,,,1421
Dem. Rep. of the Congo,,,,7811,80,,8,,,,,,,7899
Costa Rica,139,,1280,7135,,,863,,1,,,,414,9832
Côte d'Ivoire,64,,,1774,4228,,33,,,,,,,6099
Croatia,55,2582,,5162,2621,,752,,0,,,,201,11373
Cuba,454,,,99,2054,,15133,,2,,,,18,17760
Curaçao,,,,,,,1262,,,,,,63,1325
Cyprus,52,,,,,,4751,,12,,,,114,4930
Czechia,2616,49523,,2664,1397,28283,174,84,2182,,,157,397,87477
Denmark,3423,13976,,17,5841,,453,,15,,,1730,9774,35229
Dominican Republic,75,2000,,1515,3456,,8615,,,,,,14,15675
Ecuador,278,,,11133,1936,,7194,,,,,,3,20544
Egypt,,,,12934,125442,,17283,,223,,,,1524,157406
El Salvador,283,,1534,2011,,,2255,,,,,,,6083
Eritrea,,,,,,,335,,2,,,,,337
Estonia,781,11421,,30,250,,43,,,,,,368,12893
Ethiopia,,,8,6262,,,37,,9,,,,29,6345
Eu28,115312,887063,5947,341314,704676,906749,77712,4982,45571,1959,478,38112,180066,3309943
Eurasia,630,418680,522,280231,680126,293798,39001,23,150,,,2752,2663,1718577
Finland,10976,15749,,12445,9444,23187,416,300,5,,,498,481,73501
France,3280,20290,62,50760,29491,442388,7446,547,2333,,477,4289,12104,573468
North Macedonia,,5169,,1433,88,,68,,1,,,,,6759
Gabon,9,,,840,957,,235,,,,,,,2041
Georgia,,,,7890,2297,,7,,,,,,,10194
Germany,32846,272380,19,23511,87229,107971,7162,2312,19599,0,,11156,48883,613068
Ghana,,,,7561,2726,,913,,,,,,,11200
Gibraltar,,,,,,,171,,,,,,,171
Greece,207,31063,,4275,13938,,5915,,610,,,113,3315,59436
Guatemala,1494,1194,246,4174,,,2075,,,,,,,9183
Haiti,,,,121,,,566,,,,,,,687
Honduras,241,101,,2815,,,4073,,,,,,117,7347
"China, Hong Kong SAR",78,27781,,,11132,,115,,,,,,2,39108
Hungary,1740,6609,,222,10738,15685,144,,1,,,254,626,36019
Iceland,,,4702,12507,,,2,,,,,,,17211
Ieafamily,284225,8405703,49287,2734205,3070041,2228548,462658,33532,62840,2861,511,88929,427947,17851289
Ieatot,198203,3574184,39790,1415960,2636466,2080750,345314,32976,58638,2855,504,75931,329303,10790876
India,16885,717360,,142218,114193,32287,24125,,1494,,,988,24531,1074081
Indonesia,186,81090,9371,12419,38137,,42178,,1,,,30,5,183417
Iran,22,425,,12058,160359,327,66644,,,,,,217,240052
Iraq,,,,3397,18005,,32501,,,,,,,53903
Ireland,336,6075,,707,15432,,234,,1,,,,4380,27165
Israel,73,35191,,29,19748,,4359,80,192,,,,7,59678
Italy,8626,50139,5654,47757,144548,,19885,808,10796,,,4513,9856,302582
