short,Biofuels,Coal,Geothermal,Hydro,Natural gas,Nuclear,Oil,Other sources,Solar PV,Solar thermal,Tide,Waste,Wind,Total production
Libya,,,,,20262,,17241,,8,,,,,37511
Lithuania,404,,,1024,1979,,275,265,73,,,103,810,4933
Luxembourg,86,,,1531,838,,0,,104,,,106,102,2766
Malaysia,751,63474,,13924,69962,,1739,,273,,,,,150123
Malta,7,,,,,,1203,,95,,,,,1305
Masean,9738,326994,21093,123685,381163,,30259,,2869,,,1559,1205,898565
Mauritius,530,1182,,122,,,1134,,26,,,,3,2997
Mexico,1341,33808,6331,30815,186251,11577,31577,,239,,,28,8745,310712
Middleeast,20,462,,17581,707571,2914,318848,,295,243,,,344,1048278
Rep. of Moldova,15,,,268,5757,,8,,2,,,,2,6052
Mongolia,,5061,,59,,,230,,9,,,,154,5513
Montenegro,,1512,,1491,,,,,,,,,,3003
Morocco,,17113,,2281,5784,,2211,1302,1,4,,,2519,31215
Mozambique,,,,17207,5089,,152,,2,,,,,22450
Myanmar,,285,,9399,6231,,55,,,,,,,15970
Namibia,,7,,1502,,,27,,,,,,,1536
Nepal,,,,3453,,,,,1,,,,6,3460
Netherlands,2937,42231,,93,47282,4077,1330,150,1109,,,3630,7550,110389
Nicaragua,454,,678,295,,,2286,,2,,,,865,4580
Niger,,221,,,,,306,,4,,,,,531
Nigeria,,,,5718,26697,,24,,24,,,,,32439
Nonoecdtot,152857,6313361,30011,2544986,2726631,599211,715521,2432,68683,464,8,20639,280555,13455337
Norway,38,151,,138450,2599,,23,296,0,,,474,2515,144546
New Zealand,620,1876,7855,24537,6854,,2,52,36,,,,2353,44184
Oecdam,81107,1597983,25058,708118,1637273,943674,81505,5659,36486,3544,13,19119,230298,5369838
Oecdao,25409,780569,10451,135072,624681,174199,117458,21957,44947,4,496,15277,20749,1971270
Oecdeur,158429,861582,15043,601649,587675,853086,61423,5637,100457,5593,489,46525,306712,3604301
Oecdtot,264945,3240135,50551,1444839,2849629,1970959,260385,33253,181891,9141,998,80922,557759,10945408
Oman,,,,,31895,,863,,,,,,,32758
Pakistan,556,148,,34633,35001,4605,35362,,207,,,,786,111298
Panama,34,712,,6257,,,2858,,16,,,,419,10296
Paraguay,,,,55743,,,1,,,,,,,55744
Peru,907,405,,23711,21726,,677,,230,,,,595,48251
Philippines,329,36686,11044,8665,18878,,5886,,139,,,38,748,82413
Poland,9936,132962,,2435,6387,,2118,116,57,,,75,10858,164944
Portugal,2812,14727,204,9800,10562,,1312,8,796,,,592,11607,52420
Qatar,,,,,41499,,,,,,,,,41499
Romania,524,18220,0,17007,9386,11640,474,,1982,,,,7063,66296
Russian Federation,30,158550,457,169914,529749,195470,10102,,335,,,2789,148,1067544
Saudi Arabia,,,,,188804,,149409,,129,,,,,338342
Senegal,73,,,333,82,,3610,35,18,,,,,4151
Serbia,23,27231,,10783,218,,28,,11,,,4,,38298
Singapore,221,603,,,47909,,352,,69,,,1266,,50420
Slovakia,1640,3332,,4137,1604,15146,384,100,506,,,48,6,26903
Slovenia,267,4385,,4091,404,5648,17,,274,,,8,6,15100
South Africa,259,228383,,3720,,12237,183,,2183,190,,,2500,249655
Spain,4996,52676,,31368,52498,57196,17241,216,8266,5593,,1536,49325,280911
Srilanka,57,4443,,5969,,,2349,,21,,,,343,13182
South Sudan,,,,,,,576,,2,,,,,578
Sudan,,,,8420,,,4627,,,,,,,13047
Suriname,,,,1348,,,901,,9,,,,,2258
Sweden,9016,1261,,75439,425,56348,252,,97,,,2952,16322,162112
Switzerland,518,,,39881,662,23089,45,,1119,,,2296,110,67720
Syria,,,,413,12271,,5298,,,,,,,17982
Taipei,477,119923,,7505,76108,36471,12688,,876,,,3311,1525,258884
Tajikistan,,162,,17000,,,,,,,,,,17162
United Rep. of Tanzania,21,,,2108,2863,,1480,,15,,,,,6487
Thailand,7211,34582,1,4743,126986,,1014,,2378,,,235,329,177479
Togo,5,,,56,,,20,,,,,,,81
Trinidad,,,,,10272,,24,,4,,,,,10300
Tunisia,,,,69,17992,,912,214,65,,,,448,19700
Turkey,1241,76166,3425,67146,99218,,2224,495,194,,,22,11652,261783
Turkmenistan,,,,,22534,,,,,,,,,22534
United Arab Emirates,,,,,125488,,1582,,53,243,,,,127366
United Kingdom,26676,76963,,9037,99875,70345,2037,,7533,,2,6134,40275,338876
Ukraine,145,56062,,6971,10102,87627,746,468,477,,,,1084,163682
Uruguay,1788,,,8266,,,940,,49,,,,2065,13108
USA,61640,1470997,18727,271129,1372570,830288,38837,5518,32091,3544,,18826,192992,4317159
Uzbekistan,,2353,,7069,48086,,148,,,,,,,57656
Venezuela,,,,74899,27966,,19856,,7,,,,88,122816
Viet Nam,70,56469,,57174,48147,,1293,,,,,,124,163277
Weoafrica,1753,254345,4479,124363,294641,12237,89380,1551,3359,194,,,8552,794830
Weoasiapac,114353,6378779,31669,1598571,1355970,423478,247533,21956,103215,31,504,32892,252269,10561219
Weocsam,66197,72770,3857,673970,262689,21873,159033,390,2357,,,,31194,1294330
Weoeur,159958,1038175,15043,664455,682918,967736,69630,6128,105736,5593,489,46578,317483,4079922
Weoeurasia,30,238985,457,226649,646554,198258,13134,,388,,,2971,288,1327714
Weomideast,20,462,,17581,707571,2914,318848,,295,243,,,344,1048278
Weonam,75492,1569981,25058,684237,1625916,943674,78349,5659,35225,3544,13,19119,228183,5294450
World,417802,9553496,80562,3989825,5576260,2570170,975906,35685,250574,9605,1006,101561,838314,24400746
Yemen,,,,,2263,,3714,,110,,,,,6087
Zambia,,,,13037,,,404,,,,,,,13441
Zimbabwe,128,4542,,4990,,,45,,,,,,,9705
