short,Biofuels,Coal,Geothermal,Hydro,Natural gas,Nuclear,Oil,Other sources,Solar PV,Solar thermal,Tide,Waste,Wind,Total production
Africa,1753,254345,4479,124363,294641,12237,89380,1551,3359,194,,,8552,794830
Albania,,,,5895,,,,,,,,,,5895
Algeria,,,,145,67668,,908,,58,,,,19,68798
Angola,,,,5088,,,4481,,,,,,,9569
Argentina,2138,3303,,38529,71367,7139,22357,,15,,,,599,145447
Armenia,,,,2206,2801,2788,,,1,,,,3,7799
Asia,36211,1493815,21093,333253,606242,78490,120585,,14599,,,6586,45759,2756633
Australia,3608,158610,1,13445,52462,,6799,,5019,4,,,11467,251415
Austria,4201,5056,0,40525,7652,,856,15,937,,,1119,4837,65198
Azerbaijan,,,,1637,21252,,1607,,5,,,182,5,24688
Bahrain,,,,,28475,,9,,,,,,,28484
Bangladesh,,997,,600,47624,,9666,,154,,,,4,59045
Belarus,137,38,,107,33355,,362,,8,,,49,26,34082
Belgium,4640,4248,,1418,22029,26103,209,452,3053,,,2123,5574,69849
Benin,,,,1,111,,213,,5,,,,,330
Bolivia,192,,,2463,6253,,192,,11,,,,12,9123
Bosnia Herzegovina,,9994,,5551,33,,51,,,,,,,15629
Botswana,,2859,,,,,107,,2,,,,,2968
Brazil,48802,27468,,359743,79490,14734,29340,390,59,,,,21626,581652
Brunei,,,,,4156,,42,,2,,,,,4200
Bulgaria,272,22522,,6147,1864,15383,182,23,1383,,,,1452,49228
Cambodia,38,2128,,2000,,,228,,3,,,,,4397
Cameroon,3,,,4359,1486,,2095,,10,,,,,7953
Canada,12511,65176,,382293,67095,101809,7935,141,2895,,13,265,26446,666579
Chile,5615,28002,,23881,11357,,3156,,1261,,,,2115,75387
China,52700,4108994,125,1130270,145346,170789,9679,,44782,27,8,11029,185766,5859515
China reg,52801,4133838,125,1130270,158196,170789,9909,,44783,27,8,11029,185768,5897543
Colombia,1371,7090,,48568,17955,,3057,,,,,,68,78109
Congo,,,,1098,1435,,189,,576,,,,,3298
Dem. Rep. of the Congo,21,,,8916,4,,12,,,,,,,8953
Costa Rica,179,,1375,8067,,,108,,3,,,,1080,10812
Côte d'Ivoire,105,,,1352,6799,,455,,,,,,,8711
Croatia,266,2310,,6556,1197,,221,,57,,,,796,11403
Cuba,703,,,48,2950,,16537,,29,,,,21,20288
Curaçao,,,,,,,603,,17,,,,200,820
Cyprus,51,,,,,,4135,,126,,,,221,4535
Czechia,4703,43837,,3071,2264,26841,94,80,2264,,,165,573,83892
Denmark,3276,7110,,18,1805,,318,,604,,,1670,14133,28934
Dominican Republic,74,2313,,945,4282,,9987,,32,,,,290,17923
Ecuador,408,,,13096,3272,,8919,,36,,,,99,25830
Egypt,,,,13545,132312,,38237,,168,,,,2058,186320
El Salvador,570,,1540,1353,,,2526,,7,,,,,5996
Eritrea,,,,,,,394,,2,,,,,396
Estonia,760,8649,,27,62,,57,,,,,128,715,10398
Ethiopia,,,,9674,,,4,,95,,,,759,10532
Eu28,157752,828317,6615,372101,497643,857020,65342,4869,102787,5593,489,43733,301956,3244219
Eurasia,1490,386133,457,289430,708649,312908,20922,491,4552,,,3024,11053,1739111
Finland,10949,8787,,16769,5195,23245,212,248,9,,,856,2327,68597
France,4375,14536,92,60403,21136,437428,6674,715,7750,,487,4279,21319,579194
North Macedonia,20,3295,,1865,183,,139,,23,,,,121,5646
Gabon,10,,,918,979,,218,,2,,,,,2127
Georgia,,,,8454,2379,,,,,,,,,10833
Germany,44555,283710,134,24898,63017,91786,6209,1823,38726,,,12824,79206,646888
Ghana,,,,5845,4464,,1179,,3,,,,,11491
Gibraltar,,,,,,,224,,,,,,,224
Greece,231,22107,,6150,9090,,5663,,3900,,,112,4621,51874
Guatemala,2338,3384,264,3911,,,1525,,150,,,,107,11679
Haiti,,,,83,,,955,,,,,,,1038
Honduras,325,93,,2340,,,5125,,417,,,,665,8965
"China, Hong Kong SAR",101,24844,,,12850,,230,,1,,,,2,38028
Hungary,1953,5908,,234,5108,15834,77,63,141,,,349,693,30360
Iceland,,,5003,13781,,,4,,,,,,11,18799
Ieafamily,399126,8786018,55722,3075052,3341560,2200485,345194,34680,240325,9362,1006,95077,811185,19394794
Ieatot,257822,3178304,45548,1400178,2799984,1965311,256513,32988,179167,9141,998,80811,554663,10761430
India,25382,1032061,,136495,65810,37414,23096,,10420,,,1716,41663,1374057
Indonesia,1114,130508,10048,13741,58894,,19650,,5,,,20,4,233984
Iran,14,462,,14090,222448,2914,40483,,1,,,,221,280633
Iraq,,,,2546,20482,,45660,,,,,,,68688
Ireland,398,7393,,1095,12367,,407,,3,,,151,6573,28387
Israel,68,29444,,24,33149,,419,,1115,,,,7,64226
Italy,17053,45388,6185,46969,110860,,13384,595,22942,,,4773,14844,282993
Jamaica,169,,,129,,,3699,,,,,,125,4122
Japan,18626,354054,2595,91270,409360,9437,97720,20688,34803,,,14614,5580,1058747
Jordan,6,,,53,9211,,9619,,2,,,,123,19014
Kazakhstan,,76198,,9269,19583,,1239,,47,,,,132,106468
Kenya,122,,4479,3787,,,1206,,37,,,,57,9688
Korea,2487,236586,,5796,122856,164762,12518,1216,3975,,496,663,1342,552697
Dem. People's Rep. of Korea,,2924,,10000,,,813,,,,,,,13737
Kosovo,,5964,,140,,,15,,,,,,,6119
Kuwait,,,,,24735,,43553,,,,,,,68288
Kyrgyzstan,,1722,,11100,170,,38,,,,,,,13030
Latinameri,60582,44768,3857,650089,251332,21873,155877,390,1096,,,,29079,1218943
Latvia,769,,,1860,2756,,1,,0,,,,147,5533
Lebanon,,,,479,,,18658,,,,,,,19137
