short,Biofuels,Coal,Geothermal,Hydro,Natural gas,Nuclear,Oil,Other sources,Solar PV,Solar thermal,Tide,Waste,Wind,Total production
Malta,6,,,,,,2216,,29,,,,,2251
Masean,8274,262575,19020,120575,347094,,41617,,1249,,,1406,458,802268
Mauritius,493,1214,,95,,,1079,,3,,,,4,2888
Mexico,1180,31960,6070,28002,165759,11800,48122,,106,,,142,4185,297326
Middleeast,27,459,,23663,556173,4546,341905,,89,54,,,379,927295
Rep. of Moldova,2,,,314,4178,,16,,,,,,1,4511
Mongolia,,4624,,64,,,269,,9,,,,54,5020
Montenegro,,1441,,2504,,,,,,,,,,3945
Morocco,,12141,,2990,5823,,4630,1302,,,,,1356,28242
Mozambique,,,,14546,349,,,,,,,,,14895
Myanmar,,569,,8823,2794,,61,,,,,,,12247
Namibia,,41,,1272,,,18,,,,,,,1331
Nepal,,,,3507,,,10,,,,,,,3517
Netherlands,3879,27539,,114,56070,2891,1203,123,410,,,3774,5627,101630
Nicaragua,482,,679,456,,,1985,,1,,,,562,4165
Niger,,236,,,,,203,,4,,,,,443
Nigeria,,,,5326,23557,,22,,22,,,,,28905
Nonoecdtot,121228,6091867,25575,2417665,2406156,516745,721646,1968,24737,80,8,21319,197914,12546886
Norway,192,150,,128699,2451,,37,243,0,,,419,1881,134072
New Zealand,606,2394,6438,23050,8689,,4,47,7,,,,2022,43257
Oecdam,75161,1839793,24492,729713,1394009,937243,98156,6986,16471,1014,15,20039,192415,5335507
Oecdao,21206,767447,9042,134627,659833,148087,186888,22521,18457,3,484,15273,16324,2000193
Oecdeur,140197,934533,12635,616279,605768,877031,59795,5225,79975,4770,419,41825,239712,3618165
Oecdtot,236564,3541773,46169,1480619,2659610,1962360,344839,34732,114904,5787,918,77138,448451,10953865
Oman,,,,,25555,,685,,,,,,,26240
Pakistan,,157,,31873,26670,5090,39889,,,,,,397,104076
Panama,33,683,,5154,,,3086,,,,,,2,8958
Paraguay,,,,60378,,,3,,,,,,,60381
Peru,960,1216,,22309,18062,,761,,197,,,,1,43506
Philippines,152,32081,9605,10019,18791,,4491,,1,,,60,66,75266
Poland,8623,139758,,2997,5270,,1782,111,1,,,34,6004,164580
Portugal,2765,11838,197,14868,7228,,1698,4,479,,,580,12014,51673
Qatar,,,,,34668,,,,,,,,,34668
Romania,252,16954,,15308,9255,11618,560,,420,,,,4520,58887
Russian Federation,37,161876,444,182654,529974,172508,8706,,,,,2888,5,1059092
Saudi Arabia,,,,,149824,,134154,,39,,,,,284017
Senegal,59,,,308,149,,2970,64,11,,,,,3561
Serbia,20,28691,,10853,301,,11,,,,,1,,39877
Singapore,93,313,,,44030,,2254,,17,,,1264,,47971
Slovakia,890,3526,,5166,2393,15720,429,69,588,,,45,6,28832
Slovenia,262,4876,,4923,509,5300,7,,215,,,7,4,16103
South Africa,259,237420,,4040,,14106,192,,46,,,,10,256073
Spain,5116,41332,,41052,57536,56726,13763,0,8326,4770,,1364,55646,285631
Srilanka,26,1469,,6918,,,3355,,20,,,,235,12023
South Sudan,,,,,,,470,,2,,,,,472
Sudan,,,,8315,,,1969,,,,,,,10284
Suriname,,,,1309,,,874,,1,,,,,2184
Sweden,9748,1445,,61496,837,66457,411,,35,,,2895,9842,153166
Switzerland,585,,,39968,769,25990,46,,500,,,2279,90,70227
Syria,,,,3000,15125,,7014,,,,,,,25139
Taipei,306,124034,,8610,65992,41639,7528,,338,,,3217,1640,253304
Tajikistan,,44,,17071,,,,,,,,,,17115
United Rep. of Tanzania,21,,,1717,2912,,1276,,14,,,,,5940
Thailand,6680,37627,1,5748,117006,,1677,,1080,,,24,305,170148
Togo,5,,,71,,,17,,,,,,,93
Trinidad,,,,,9477,,24,,4,,,,,9505
Tunisia,,,,60,17617,,88,247,14,,,,358,18384
Turkey,879,63786,1364,59420,105116,,1739,278,,,,15,7557,240154
Turkmenistan,,,,,18870,,,,,,,,,18870
United Arab Emirates,,,,,104731,,1391,,46,54,,,,106222
United Kingdom,16453,131678,,7605,95843,70607,2067,,2010,,5,3625,28397,358290
Ukraine,101,81013,,14472,13983,83209,390,,570,,,,639,194377
Uruguay,1079,,,8206,1,,1853,,,,,,144,11283
USA,58519,1712408,18422,290113,1158454,822004,36858,4356,14858,1014,,19652,169713,4306371
Uzbekistan,,2229,,5704,46404,,280,,,,,,,54617
Venezuela,,,,83545,21096,,18519,,4,,,,88,123252
Viet Nam,58,27192,,51955,40862,,424,,,,,,87,120578
Weoafrica,1791,256163,2007,121090,265010,14106,76823,1613,610,,,,3530,742721
Weoasiapac,88873,6119733,28187,1400176,1296547,340657,323074,22520,39297,29,492,33537,193534,9886658
Weocsam,56639,68154,3979,715849,230372,21657,152081,503,263,,,,10038,1259535
Weoeur,141025,1137123,12635,689339,695630,986029,70190,5241,82916,4770,419,41859,247008,4114185
Weoeurasia,37,242450,444,238190,639180,174868,9706,,2,,,3022,15,1307914
Weomideast,27,459,,23663,556173,4546,341905,,89,54,,,379,927295
Weonam,69400,1809558,24492,709976,1382854,937243,92705,6822,16463,1014,15,20039,191861,5262442
World,357792,9633640,71744,3898284,5065766,2479105,1066485,36700,139641,5867,926,98457,646365,23500751
Yemen,,,,,2722,,5779,,4,,,,,8505
Zambia,,,,13281,,,19,,,,,,,13300
Zimbabwe,166,4351,,4996,,,54,,,,,,,9567
