short,Biofuels,Coal,Geothermal,Hydro,Natural gas,Nuclear,Oil,Other sources,Solar PV,Solar thermal,Tide,Waste,Wind,Total production
Africa,1791,256163,2007,121090,265010,14106,76823,1613,610,,,,3530,742721
Albania,,,,6959,,,,,,,,,,6959
Algeria,,,,330,58658,,902,,,,,,,59890
Angola,,,,4767,,,3449,,,,,,,8216
Argentina,2466,3753,,41235,65486,6207,19844,,15,,,,461,139467
Armenia,,,,2173,3173,2360,,,,,,,4,7710
Asia,30618,1262518,19020,345286,546863,80957,128260,,5882,,,5961,36017,2461382
Australia,3152,159047,1,18270,51054,,6410,,3472,3,,,7960,249370
Austria,4329,6106,0,45808,6651,,695,14,626,,,974,3153,68357
Azerbaijan,,,,1489,21711,,18,,1,,,134,1,23354
Bahrain,,,,,25909,,7,,,,,,,25916
Bangladesh,,1225,,948,44169,,6692,,136,,,,4,53174
Belarus,120,23,,138,31007,,179,,,,,32,8,31507
Belgium,4257,5159,,1704,20924,42644,157,423,2644,,,1911,3665,83488
Benin,,,,,,,92,,,,,,,92
Bolivia,190,,,2535,5187,,148,,3,,,,1,8064
Bosnia Herzegovina,,10135,,7236,38,,42,,,,,,,17451
Botswana,,760,,,,,162,,2,,,,,924
Brazil,40393,21776,,390992,69002,15450,26560,339,5,,,,6579,571096
Brunei,,,,,4360,,40,,2,,,,,4402
Bulgaria,110,19392,,4795,2339,14171,226,16,1361,,,,1374,43784
Cambodia,11,169,,1016,,,579,,3,,,,,1778
Cameroon,68,,,4083,921,,1018,,5,,,,,6095
Canada,9701,65190,,391861,58641,103439,7725,2466,1499,,15,245,17963,658745
Chile,5761,30235,,19737,11155,,5451,164,8,,,,554,73065
China,37000,4092597,125,920291,106623,111613,10013,,15451,26,8,12303,141197,5447247
China reg,37092,4121896,125,920291,116229,111613,10171,,15452,26,8,12303,141199,5486405
Colombia,1048,6082,,50260,15359,,1186,,,,,,58,73993
Congo,,,,971,738,,,,256,,,,,1965
Dem. Rep. of the Congo,18,,,8229,,,9,,,,,,,8256
Costa Rica,183,,1517,6851,,,1196,,3,,,,485,10235
Côte d'Ivoire,68,,,1606,5772,,204,,,,,,,7650
Croatia,125,2421,,8727,2021,,230,,11,,,,517,14052
Cuba,680,,,127,1987,,16320,,3,,,,23,19140
Curaçao,,,,,,,689,,5,,,,200,894
Cyprus,49,,,,,,3963,,47,,,,231,4290
Czechia,3977,43711,,3639,2025,30745,79,75,2033,,,148,481,86913
Denmark,3440,14292,,13,3417,,351,,518,,,1589,11123,34743
Dominican Republic,78,2215,,1875,4454,,8775,,9,,,,243,17649
Ecuador,296,,,11039,2995,,8870,,4,,,,57,23261
Egypt,,,,13352,123636,,29616,,114,,,,1332,168050
El Salvador,441,,1560,1790,,,2481,,,,,,,6272
Eritrea,,,,,,,372,,2,,,,,374
Estonia,665,11774,,26,89,,132,,,,,60,529,13275
Ethiopia,,,,8338,,,8,,38,,,,356,8740
Eu28,139083,909364,6026,404159,511047,876830,65163,4720,81343,4770,419,39112,236823,3278860
Eurasia,822,412912,444,311223,702664,283866,17857,16,2449,,,3055,7305,1742613
Finland,11616,14371,,12838,6788,23606,234,289,6,,,735,774,71257
France,3259,26331,90,76945,18399,423685,6390,809,5192,,414,4275,16106,581895
North Macedonia,,4025,,1584,362,,114,,9,,,,,6094
Gabon,10,,,936,844,,309,,2,,,,,2101
Georgia,,,,8271,1788,,,,,,,,,10059
Germany,41154,299011,80,28782,68737,97290,7198,1765,31010,,,11994,51708,638729
Ghana,,,,8233,1339,,3296,,3,,,,,12871
Gibraltar,,,,,,,189,,,,,,,189
Greece,216,26406,,6384,10860,,5414,,3648,,,85,4139,57152
Guatemala,2130,2086,223,4695,,,1346,,,,,,,10480
Haiti,,,,141,,,914,,,,,,,1055
Honduras,195,108,,2739,,,4147,,,,,,310,7499
"China, Hong Kong SAR",92,29299,,,9606,,158,,1,,,,2,39158
Hungary,1696,6384,,213,5541,15370,78,32,25,,,237,718,30294
Iceland,,,5245,12863,,,5,,,,,,3,18116
Ieafamily,341999,8881603,50464,2948139,3084231,2132457,437751,36136,134865,5813,926,92055,630330,18776770
Ieatot,229658,3474531,40924,1439087,2616679,1957060,336923,34331,114142,5787,918,77086,447161,10774288
India,22011,863711,,148331,62423,34228,23299,,4111,,,1338,33168,1192620
Indonesia,144,111252,9414,16923,51490,,26752,,5,,,40,,216020
Iran,21,459,,14582,157084,4546,85366,,,,,,376,262434
Iraq,,,,4757,12356,,41309,,,,,,,58422
Ireland,412,6564,,944,13130,,189,,1,,,140,4542,25920
Israel,43,32128,,28,26378,,2245,,494,,,,6,61322
Italy,14886,48493,5659,54672,108875,,15482,753,21589,,,4501,14897,289807
Jamaica,152,,,116,,,3620,,,,,,115,4003
Japan,16296,351036,2603,84885,428877,9303,156811,21751,12879,,,14619,5187,1104248
Jordan,6,,,55,4339,,12860,,,,,,3,17263
Kazakhstan,,77515,,7731,17233,,601,,1,,,,5,103086
Kenya,179,,2007,3945,,,2726,,31,,,,18,8906
Korea,1109,222842,,8394,144835,138784,21418,722,1605,,484,654,1149,541996
Dem. People's Rep. of Korea,,3860,,13900,,,572,,,,,,,18332
Kosovo,,6367,,143,,,15,,,,,,,6525
Kuwait,,,,,23860,,37122,,,,,,,60982
Kyrgyzstan,,786,,13097,27,,101,,,,,,,14011
Latinameri,50878,37919,3979,696112,219217,21657,146630,339,255,,,,9484,1186470
Latvia,502,3,,2912,2670,,2,,0,,,,120,6209
Lebanon,,,,1269,,,16218,,,,,,,17487
Libya,,,,,22135,,15770,,8,,,,,37913
Lithuania,338,,,1069,2219,,206,237,45,,,45,603,4762
Luxembourg,58,,,1158,1421,,0,,74,,,95,83,2889
Malaysia,1131,53372,,10586,67761,,5339,,141,,,18,,138348
