CNTRY_CODE,CNTRY_NAME,MIN,MAX,MEAN,STD
296,Kiribati,0.216799137,0.264492387,0.243412783,0.013377805
304,Greenland,0.547404029,2.480991643,1.476015519,0.363019709
344,Hong Kong,0.2113684,0.215597271,0.213787578,0.001761926
352,Iceland,0.557346671,2.434355709,1.600586285,0.391808616
414,Kuwait,0.020370199,1.2806917,0.275390868,0.382597313
480,Mauritius,0.112086295,0.22324761,0.182761418,0.021716481
498,Moldova,0.554531695,1.954495728,1.631068183,0.433689848
512,Oman,0.049060891,0.70789345,0.276065052,0.252254022
533,Aruba,0.122227442,0.263552839,0.22925509,0.024761469
540,New Caledonia,0.20683922,0.20683922,0.20683922,0
585,Palau,0.184933205,0.270945661,0.236836692,0.018039137
634,Qatar,0.049060891,0.70789345,0.276065052,0.252254022
670,St Vincent and the Grendadines,0.186225539,0.24970872,0.208421995,0.031440986
682,Saudi Arabia,0.049060891,0.70789345,0.276065052,0.252254022
688,Serbia,0.751227688,1.958587871,1.70899593,0.343759113
702,Singapore,0.244736552,0.244736552,0.244736552,0
784,United Arab Emirates,0.049060891,0.70789345,0.276065052,0.252254022
882,Samoa,0.166198843,0.214126806,0.199777525,0.01550962
