short,Biofuels,Coal,Geothermal,Hydro,Natural gas,Nuclear,Oil,Other sources,Solar PV,Solar thermal,Tide,Waste,Wind,Total production
Slovenia,290,4824,,4141,473,6285,14,,284,,,9,6,16326
South Africa,297,226710,,5350,,14193,183,,2634,676,,,5090,255134
Spain,5306,46349,,21070,64037,58039,15766,91,8514,5883,,1544,49127,275726
Srilanka,67,5103,,4021,,,6107,,141,,,,365,15804
South Sudan,,,,,,,539,,3,,,,,542
Sudan,,,,9347,,,6195,,,,,,,15542
Suriname,,,,1207,,,808,,9,,,,,2024
Sweden,10298,1229,,65168,271,65696,290,,230,,,3459,17609,164250
Switzerland,680,,,37033,724,20376,36,,1683,,,2425,133,63089
Syria,,,,754,10559,,6918,,,,,,,18231
Taipei,113,125925,,8780,91325,22446,13039,,1692,,,3355,1731,268405
Tajikistan,,981,,17133,,,,,,,,,,18114
United Rep. of Tanzania,21,,,2350,4227,,1361,,19,,,,,7978
Thailand,15380,35605,1,9527,120015,,305,,4543,,,62,1109,186547
Togo,5,,,205,,,22,,,,,,,232
Trinidad,,,,,10996,,33,,4,,,,0,11033
Tunisia,,,,17,19715,,43,232,133,,,,449,20589
Turkey,2096,97476,6127,58218,110490,,1200,848,2889,,,28,17904,297278
Turkmenistan,,,,,22534,,,,,,,,,22534
United Arab Emirates,,,,,132231,,1530,,535,257,,,,134553
United Kingdom,28484,23284,,8800,136746,70336,1614,,11525,,4,7538,50004,338336
Ukraine,210,49269,,10519,7381,85576,1314,45,739,,,,983,156036
Uruguay,1847,,,7518,40,,187,,269,,,,3774,13636
USA,60674,1321421,18726,325114,1337703,838861,32412,5444,67393,3587,,17844,257249,4286429
Uzbekistan,,2482,,8427,50723,,156,,,,,,,61789
Venezuela,,,,64847,27824,,14273,,7,,,,88,107039
Viet Nam,76,67558,,88982,41020,,700,,,,,,323,198659
Weoafrica,1797,253595,4810,127417,325439,14193,75247,1581,4670,1090,,,12280,822090
Weoasiapac,171968,6951043,33525,1727451,1409912,500081,218392,22038,236129,31,500,42535,376590,11690185
Weocsam,71440,67423,3895,708302,249748,21952,107142,447,7123,,,,55809,1293283
Weoeur,166409,928032,18012,615403,866763,935670,64807,6298,120482,5883,526,50519,384832,4163630
Weoeurasia,84,250296,435,251329,637758,205763,9271,,692,,,2764,591,1358984
Weomideast,28,626,,17652,807927,7514,288815,,2406,257,,,755,1125980
Weonam,69805,1412321,24671,749742,1585281,950856,78206,5658,72051,3587,18,18227,296466,5266890
World,481529,9863339,85348,4197299,5882825,2636030,841878,36022,443554,10848,1044,114043,1127319,25721050
Yemen,,,,,1892,,2692,,732,,,,,5316
Zambia,,1279,,12198,,,708,,,,,,,14185
Zimbabwe,151,3383,,3969,,,41,,,,,,,7544
