short,Biofuels,Coal,Geothermal,Hydro,Natural gas,Nuclear,Oil,Other sources,Solar PV,Solar thermal,Tide,Waste,Wind,Total production
Africa,1797,253595,4810,127417,325438,14193,75247,1581,4671,1090,,,12278,822092
Albania,,,,4525,,,,,1,,,,,4526
Algeria,,,,56,75062,,321,,572,,,,8,76018
Angola,,,,7653,,,3066,,,,,,,10719
Argentina,2095,2436,,40211,82597,6213,11460,,16,,,,616,145645
Armenia,,,,2269,2872,2620,,,3,,,,2,7765
Asia,62758,1672092,23035,398975,631911,70672,121112,,35199,,,6908,58165,3080826
Australia,3500,161830,1,16285,50460,,5272,,8071,2,,,12597,258018
Austria,4323,3916,0,42251,10980,,814,13,1269,,,1185,6574,71324
Azerbaijan,,,,1746,21020,,1325,,37,,,170,22,24321
Bahrain,,,,,29223,,2,,,,,,,29225
Bangladesh,,1031,,1041,57572,,13332,,177,,,,5,73157
Belarus,163,27,,405,33507,,195,,89,,,32,97,34515
Belgium,4790,2425,,1397,22908,42227,165,528,3288,,,2370,6511,86608
Benin,,,,1,140,,185,,5,,,,,331
Bolivia,268,,,2234,7189,,202,,11,,,,60,9965
Bosnia Herzegovina,6,12339,,3987,23,,62,,21,,,,,16438
Botswana,,3012,,,,,8,,2,,,,,3021
Brazil,52255,25337,,370906,65593,15739,15917,447,832,,,,42373,589400
Brunei,,,,,4110,,45,,2,,,,,4157
Bulgaria,396,20914,,3493,1922,15545,401,34,1403,,,,1504,45613
Cambodia,52,3911,,2733,,,297,,5,,,,,6998
Cameroon,3,,,4193,1783,,2205,,12,,,,,8196
Canada,7085,59846,,392647,57568,101112,7296,214,3573,,18,265,28775,658399
Chile,6062,29277,64,21315,13349,,1914,,3915,,,,3521,79417
China,79430,4485361,125,1189840,183099,248070,9869,,130658,29,11,13386,295023,6634900
China reg,79537,4508568,125,1189840,196400,248070,10278,,130659,29,11,13386,295025,6671927
Colombia,1423,3182,,61434,10717,,2214,,,,,,3,78973
Congo,,,,1203,2155,,88,,576,,,,,4022
Dem. Rep. of the Congo,20,,,9482,2,,6,,,,,,,9510
Costa Rica,185,,1118,8677,,,37,,4,,,,1288,11309
Côte d'Ivoire,173,,,1529,8478,,74,,,,,,,10253
Croatia,526,1367,,5508,3090,,210,,79,,,,1204,11984
Cuba,622,,,83,2802,,16970,,60,,,,21,20558
Curaçao,,,,,,,547,,31,,,,313,891
Cyprus,52,,,,,,4569,,172,,,,211,5004
Czechia,4853,43925,,3040,3679,28340,119,103,2193,,,206,591,87050
Denmark,5483,6209,,18,1912,,280,,751,,,1607,14780,31039
Dominican Republic,153,2407,,2196,5499,,8253,,139,,,,390,19037
Ecuador,459,,,20089,2936,,5731,,37,,,,73,29325
Egypt,,,,13392,147173,,24813,,210,,,,2570,188159
El Salvador,717,,1569,1619,,,1399,,164,,,,,5468
Eritrea,,,,,,,421,,2,,,,,423
Estonia,1038,10792,,26,63,,120,,,,,141,723,12903
Ethiopia,,,,12957,,,4,,118,,,,862,13942
Eu28,163076,709632,6715,331313,663311,829719,60660,4882,113510,5883,526,47556,362411,3299193
Eurasia,2121,388099,435,306972,701633,318393,17287,79,5246,,,2801,12261,1755327
Finland,11308,9214,,14772,3300,22477,184,401,44,,,1029,4795,67522
France,5436,15058,133,55108,40439,398359,7390,679,9573,,522,4736,24711,562143
North Macedonia,52,3386,,1110,829,,89,,24,,,,110,5600
Gabon,11,,,894,1166,,210,,2,,,,,2282
Georgia,,25,,9210,2208,,,,,,,,88,11531
Germany,44973,252824,163,26155,87685,76324,5571,1701,39401,,,13247,105693,653737
Ghana,0,,,5616,6463,,1961,,28,,,,,14068
Gibraltar,,,,,,,274,,,,,,,274
Greece,310,18765,,4040,17113,,5510,,3991,,,,5537,55266
Guatemala,2508,3431,300,5865,,,439,,199,,,,218,12960
Haiti,,,,127,,,928,,1,,,,,1056
Honduras,752,532,93,3088,,,3378,,924,,,,578,9345
"China, Hong Kong SAR",107,23208,,,13301,,409,,1,,,,2,37027
Hungary,1980,5098,1,220,7838,16098,85,82,349,,,362,758,32871
Iceland,,,5170,14059,,,2,,,,,,8,19239
Ieafamily,459865,9048050,60833,3183316,3487656,2265299,297468,35171,425203,10591,1044,107700,1092535,20474730
Ieatot,262198,2946033,47879,1424379,2923832,1948951,220970,33422,256386,9472,1033,90782,691317,10856655
India,43767,1133627,,141801,70893,38346,25037,,26035,,,1664,51061,1532230
Indonesia,239,147875,12764,18632,55320,,19413,,29,,,590,6,254869
Iran,24,626,,15051,257973,7514,26389,,85,,,,306,307968
Iraq,,,,1458,31955,,53953,,,,,,,87365
Ireland,579,5809,,895,15680,,142,,11,,,310,7445,30870
Israel,0,22076,,0,42797,,869,242,1511,,,,180,67674
Italy,16995,35096,6201,38025,140349,,11527,661,24378,,,4857,17742,295830
Jamaica,261,,,154,410,,3221,,44,,,,289,4379
Japan,19672,351830,2457,90162,398140,32912,69928,20404,55069,,,21259,6490,1068323
Jordan,4,,,38,16599,,2775,,895,,,,449,20760
Kazakhstan,,71081,,11210,19622,,782,,94,,,,339,103128
Kenya,126,,4810,3206,,,2094,,40,,,,48,10324
Korea,5915,255509,,7006,125947,148427,11795,1584,7056,,489,982,2169,566880
Dem. People's Rep. of Korea,,2482,,11900,,,781,,,,,,,15164
Kosovo,,5726,,179,,,12,,1,,,,0,5918
Kuwait,,,,,25016,,47768,,4,,,,,72788
Kyrgyzstan,,1159,,14203,119,,32,,,,,,,15513
Latinameri,65376,38147,3831,686988,236399,21952,105230,447,3209,,,,52290,1213868
Latvia,931,0,,4381,2069,,0,,0,,,,150,7531
Lebanon,,,,351,,,19890,,,,,,,20241
Libya,,,,,22834,,13955,,8,,,,,36797
Lithuania,430,,,1181,598,,139,250,68,,,157,1364,4187
Luxembourg,124,,,1422,221,,0,,108,,,124,235,2235
Malaysia,839,71959,,26575,63273,,1527,,330,,,,,164502
Malta,10,,,,1287,,193,,155,,,,0,1645
Masean,17822,385850,23035,187297,362348,,26508,,6291,,,1889,2531,1013572
Mauritius,480,1312,,90,,,1184,,76,,,,15,3157
Mexico,2046,31054,5945,31981,190010,10883,38498,,1085,,,118,10442,322062
Middleeast,29,626,,17652,807927,7514,288814,,2406,257,,,755,1125981
Rep. of Moldova,23,,,285,4631,,17,,2,,,,7,4965
Mongolia,,5353,,59,,,279,,29,,,,309,6027
Montenegro,,1362,,1024,,,,,,,,,97,2483
Morocco,,17545,,1565,5836,,3494,1302,1,414,,,3035,33192
Mozambique,,,,14061,2930,,,,2,,,,,16992
Myanmar,,1415,,12584,8345,,69,,9,,,,0,22422
Namibia,,66,,1593,,,0,,,,,,,1659
Nepal,,,,4632,,,0,,1,,,,6,4638
Netherlands,2696,34031,,61,59398,3402,1185,122,2204,,,3592,10569,117260
Nicaragua,666,,751,468,,,1992,,14,,,,635,4525
Niger,,226,,,,,321,,5,,,,,552
Nigeria,,,,5527,26670,,26,,26,,,,,32223
Nonoecdtot,211618,6861127,32236,2727843,2899708,680794,617968,2107,181390,1376,11,23095,430774,14670021
Norway,27,186,,142993,2521,,28,281,0,,,471,2852,149359
New Zealand,586,1213,7907,25183,7053,,6,50,75,,,,2141,44212
Oecdam,75866,1441598,24736,771058,1598630,950856,80120,5658,75966,3587,18,18227,299987,5346307
Oecdao,29674,792458,10364,138636,624397,181338,87869,22280,71781,2,489,22241,23577,2005107
Oecdeur,164371,768156,18012,559762,760090,823041,55920,5977,114417,5883,526,50479,372982,3699615
Oecdtot,269911,3002211,53112,1469456,2983117,1955236,223909,33915,262164,9472,1033,90948,696545,11051029
Oman,,,,,35088,,1038,,,,,,,36126
Pakistan,988,10911,,27925,49203,9880,29501,,768,,,,2101,131277
Panama,32,171,,7254,,,2947,,156,,,,491,11051
Paraguay,,,,59684,,,2,,,,,,,59685
Peru,1032,650,,29060,19699,,1117,,287,,,,1073,52918
Philippines,992,46847,10270,9611,20547,,3787,,1201,,,21,1094,94370
Poland,6407,133439,,3034,10035,,2021,62,165,,,394,14909,170465
Portugal,2860,14666,217,7632,18895,,1280,,992,,0,644,12248,59432
Qatar,,,,,45555,,,,,,,,,45555
Romania,525,16857,,14853,10656,11509,633,,1856,,,0,7407,64296
Russian Federation,84,174568,435,187131,518660,203143,6976,,558,,,2594,140,1094289
Saudi Arabia,,,,,221836,,125860,,155,,,,,347852
Senegal,68,,,337,81,,4106,47,137,,,,,4776
Serbia,75,26554,,9752,549,,48,,13,,,5,48,37045
Singapore,238,679,,,49719,,366,,169,,,1216,,52386
Slovakia,1674,3540,,4623,1667,15081,439,155,506,,,47,6,27738
