short,Biofuels,Coal,Geothermal,Hydro,Natural gas,Nuclear,Oil,Other sources,Solar PV,Solar thermal,Tide,Waste,Wind,Total production
Africa,1357,259359,1471,113064,220212,12099,63773,564,337,,,,2370,674606
Albania,,,,7567,,,1,,,,,,,7568
Algeria,,,,174,44596,,964,,,,,,,45734
Angola,,,,3703,,,1746,,,,,,,5449
Argentina,2195,3013,,33918,62609,7171,16663,,,,,,25,125594
Armenia,,,,2556,1438,2490,,,,,,,7,6491
Asia,19370,981911,19288,270236,570795,71315,141619,,409,,,5001,20860,2100804
Australia,2777,180210,1,13549,44585,,6098,,386,3,,,5052,252661
Austria,4248,6704,1,41558,14351,,1274,18,89,,,821,2064,71128
Azerbaijan,,,,3446,15240,,23,,,,,,1,18710
Bahrain,,,,,23824,,,,,,,,,23824
Bangladesh,,772,,772,37811,,1478,,,,,,,40833
Belarus,84,28,,45,33899,,829,,,,,9,1,34895
Belgium,3739,5955,,1668,31420,47944,406,255,560,,,1950,1292,95189
Benin,1,,,,,,114,,,,,,,115
Bolivia,116,,,2182,4345,,131,,3,,,,,6777
Bosnia Herzegovina,,8996,,8026,54,,48,,,,,,,17124
Botswana,,532,,,,,,,,,,,,532
Brazil,31495,11338,,403289,36475,14523,16065,383,,,,,2177,515745
Brunei,,,,,3754,,38,,,,,,,3792
Bulgaria,35,22606,,5693,1967,15249,393,14,15,,,,681,46653
Cambodia,20,31,,32,,,914,,3,,,,,1000
Cameroon,59,,,4260,417,,1163,,1,,,,,5900
Canada,10254,79541,,351461,51499,90658,8338,3006,255,,28,212,8724,603976
Chile,2247,16866,,21717,10690,,8470,112,,,,,332,60434
China,24800,3239704,125,722172,78063,73880,14856,,699,2,7,9063,44622,4207993
China reg,24892,3263494,125,722172,92460,73880,14963,,699,2,7,9063,44623,4246380
Colombia,2417,4095,,40401,11970,,502,,,,,,39,59424
Congo,,,,429,343,,12,,,,,,,784
Dem. Rep. of the Congo,,,,7819,80,,6,,,,,,,7905
Costa Rica,145,,1176,7262,,,641,,,,,,359,9583
Côte d'Ivoire,69,,,1618,4193,,85,,,,,,,5965
Croatia,33,2385,,9232,2553,,560,,0,,,,139,14902
Cuba,455,,,97,2269,,14564,,,,,,12,17397
